Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
RNU6-1257P	RNA, U6 small nuclear 1257, pseudogene	20p11.21		106481577	ENSG00000207355			
RNU6ATAC17P	RNA, U6atac small nuclear 17, pseudogene	20p11.21		106481164	ENSG00000251883			uc061vyf.1
RNU6ATAC34P	RNA, U6atac small nuclear 34, pseudogene	20p11.23		106479557	ENSG00000221806			uc061vqz.1
RNU6ATAC38P	RNA, U6atac small nuclear 38, pseudogene	20q13.12		106479559	ENSG00000221046			uc021wel.1
RNU7-6P	RNA, U7 small nuclear 6 pseudogene	20q13.2		100147749	ENSG00000252654	NG_007587		uc061xto.1
RNU7-14P	RNA, U7 small nuclear 14 pseudogene	20q13.2		100147762	ENSG00000238468	NG_007601		uc061xux.1
RNU7-72P	RNA, U7 small nuclear 72 pseudogene	20q13.13		100151669		NG_007688		
RNU7-92P	RNA, U7 small nuclear 92 pseudogene	20q13.13		106479061	ENSG00000238785			uc061xor.1
RNU7-137P	RNA, U7 small nuclear 137 pseudogene	20p11.23		106480821	ENSG00000252597			uc061vpg.1
RNU7-141P	RNA, U7 small nuclear 141 pseudogene	20q13.33		106480822	ENSG00000238777			uc061yeq.1
RNU7-144P	RNA, U7 small nuclear 144 pseudogene	20q13.13		106479079	ENSG00000238452			uc061xpc.1
RNU7-173P	RNA, U7 small nuclear 173 pseudogene	20q13.13		106479090	ENSG00000238950			uc061xop.1
RNU105B	RNA, U105B small nucleolar	20p12.3	U12207	26767	ENSG00000201348	NR_004386		uc032pac.2
RNY4P11	RNA, Ro-associated Y4 pseudogene 11	20p11.23		100379288				
ROMO1	reactive oxygen species modulator 1	20q11.22	AK000548	140823	ENSG00000125995	NM_080748	P60602	uc010gfm.4
RPF2P1	ribosome production factor 2 homolog pseudogene 1	20q11.22	AL357374	729608	ENSG00000225357			
RPL5P2	ribosomal protein L5 pseudogene 2	20q13.12		140749	ENSG00000237068	NG_000992		
RPL7AP12	ribosomal protein L7a pseudogene 12	20p13	AL121916	128668		NG_000969.3		
RPL7AP13	ribosomal protein L7a pseudogene 13	20p12.1	AL135938	128748		NG_000974		
RPL7AP14	ribosomal protein L7a pseudogene 14	20q11.23	AL133293	140756	ENSG00000213979	NG_000999		
RPL7P2	ribosomal protein L7 pseudogene 2	20p13	AL359916	140695	ENSG00000227663			
RPL7P3	ribosomal protein L7 pseudogene 3	20q13.33	AL449263	140857	ENSG00000226094			
RPL12P3	ribosomal protein L12 pseudogene 3	20q11.21	AL121901	128862	ENSG00000233106	NG_000978		
RPL12P4	ribosomal protein L12 pseudogene 4	20q13.2	AL121593	116149	ENSG00000185834	NG_000962		
RPL12P11	ribosomal protein L12 pseudogene 11	20q12	AL031669	128467	ENSG00000232493	NG_000964		
RPL12P12	ribosomal protein L12 pseudogene 12	20p11.23		85824	ENSG00000236992	NG_000945		
RPL13P2	ribosomal protein L13 pseudogene 2	20q13.12		128500	ENSG00000213820	NG_000966		
RPL13P14	ribosomal protein L13 pseudogene 14	20q13.12		100130374		NG_010376		
RPL15P1	ribosomal protein L15 pseudogene 1	20p11.23	AL160411	128756	ENSG00000227343	NG_000975		
RPL17P1	ribosomal protein L17 pseudogene 1	20p11.23		140748	ENSG00000229500	NG_000991		
RPL17P48	ribosomal protein L17 pseudogene 48	20q13.33		100271416		NG_010297		
RPL19P1	ribosomal protein L19 pseudogene 1	20p13		140759	ENSG00000226217	NG_001002		
RPL21P2	ribosomal protein L21 pseudogene 2	20p13		140715	ENSG00000215063	NG_000986		
RPL21P3	ribosomal protein L21 pseudogene 3	20p11.23		128760	ENSG00000225419			
RPL23AP6	ribosomal protein L23a pseudogene 6	20p12.2		128709	ENSG00000214835	NG_000971		
RPL23AP81	ribosomal protein L23a pseudogene 81	20q12		100271627	ENSG00000242748	NG_010024		
RPL24P2	ribosomal protein L24 pseudogene 2	20p11.23		140760	ENSG00000235065	NG_001003		
RPL27AP	ribosomal protein L27a pseudogene	20q13.12		128481	ENSG00000215467			
RPL31P2	ribosomal protein L31 pseudogene 2	20q11.22	AL050349	140753	ENSG00000230837	NG_000996		
RPL31P3	ribosomal protein L31 pseudogene 3	20q11.21	AL031650	140718	ENSG00000237929	NG_000989		
RPL35AP	ribosomal protein L35a pseudogene	20q13.12		140716	ENSG00000234075	NG_000987		
RPL36P1	ribosomal protein L36 pseudogene 1	20q13.2		140697	ENSG00000230636	NG_000983		
RPL36P2	ribosomal protein L36 pseudogene 2	20q13.13	AL133230	140751	ENSG00000231302	NG_000994		
RPL36P4	ribosomal protein L36 pseudogene 4	20q11.22		140750	ENSG00000224497	NG_000993		
RPL37AP1	ribosomal protein L37a pseudogene 1	20q13.12	AL132772	140717	ENSG00000226243	NG_000988		
RPL37P1	ribosomal protein L37 pseudogene 1	20q11.22	AL389875	140696	ENSG00000227401	NG_000982		
RPL39P	ribosomal protein L39 pseudogene	20q13.31		140719	ENSG00000228601	NG_000990		
RPL39P39	ribosomal protein L39 pseudogene 39	20q13.31		100271530	ENSG00000231005	NG_010887		
RPL41P1	ribosomal protein L41 pseudogene 1	20p11.22	AL035562	22971	ENSG00000227063	NG_000891		
RPLP0P1	ribosomal protein lateral stalk subunit P0 pseudogene 1	20p12.1	AL049794	128745	ENSG00000226229			
RPN2	ribophorin II	20q11.23	Y00282	6185	ENSG00000118705	NM_002951	P04844	uc002xgp.4
RPRD1B	regulation of nuclear pre-mRNA domain containing 1B	20q11.23	AL109823	58490	ENSG00000101413	NM_021215	Q9NQG5	uc002xho.5
RPS2P1	ribosomal protein S2 pseudogene 1	20q11.22		140755	ENSG00000225246	NG_000998		
RPS2P7	ribosomal protein S2 pseudogene 7	20q13.12		86781	ENSG00000235508	NG_000946		
RPS2P54	ribosomal protein S2 pseudogene 54	20q13.1		100271252		NG_010778		
RPS3AP3	ribosomal protein S3A pseudogene 3	20q11.23		140713	ENSG00000231241			
RPS3P1	ribosomal protein S3 pseudogene 1	20p12.1		140754	ENSG00000230935			
RPS3P2	ribosomal protein S3 pseudogene 2	20q11.23		140761	ENSG00000231307	NG_001004		
RPS4XP2	ribosomal protein S4X pseudogene 2	20p13	AL121916	92507	ENSG00000226948	NG_000950.3		
RPS4XP3	ribosomal protein S4X pseudogene 3	20q13.31		128580	ENSG00000214541			
RPS10P2	ribosomal protein S10 pseudogene 2	20p12.1		140758	ENSG00000213950	NG_001001		
RPS10P5	ribosomal protein S10 pseudogene 5	20p13	AL118502	93144	ENSG00000101278	NG_000952	Q9NQ39	
RPS11P1	ribosomal protein S11 pseudogene 1	20p12.2		128718	ENSG00000235544	NG_000972		
RPS15AP1	ribosomal protein S15a pseudogene 1	20p11.23		92682	ENSG00000214535	NG_000951		
RPS18P1	ribosomal protein S18 pseudogene 1	20p12.3	AL109935	128676	ENSG00000225831	NG_000970		
RPS19P1	ribosomal protein S19 pseudogene 1	20p11.23	AF242191	85486	ENSG00000214612	NG_001295		
RPS21	ribosomal protein S21	20q13.33	L04483	6227	ENSG00000171858	NM_001024	P63220	uc002ycr.4
RPS21P7	ribosomal protein S21 pseudogene 7	20p13		100271366		NG_009993		
RPS27AP2	ribosomal protein S27a pseudogene 2	20p12.1	AC010083	140752	ENSG00000232333	NG_000995		
RPS27AP3	ribosomal protein S27a pseudogene 3	20q11.23		140714	ENSG00000226144	NG_000985		
RPSAP1	ribosomal protein SA pseudogene 1	20q13.13	AL121915	170529	ENSG00000228820	NG_001045		
RRBP1	ribosome binding protein 1	20p12.1	AB037819	6238	ENSG00000125844	NM_001042576	Q9P2E9	uc002wpw.2
RSL24D1P6	ribosomal L24 domain containing 1 pseudogene 6	20q11.21		140757	ENSG00000224452	NG_001000		
RSPO4	R-spondin 4	20p13	AK122609	343637	ENSG00000101282	XM_297816	Q2I0M5	uc002wej.4
RTEL1	regulator of telomere elongation helicase 1	20q13.33	AB029011	51750	ENSG00000258366	NM_032957	Q9NZ71	uc002yfu.3
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	20q13.33		100533107	ENSG00000026036			uc061ynz.1
RTF2	replication termination factor 2	20q13.31	AF161513	51507	ENSG00000022277	NM_016407	Q9BY42	uc002xxt.4
SALL4	spalt like transcription factor 4	20q13.2	AK001666	57167	ENSG00000101115		Q9UJQ4	uc002xwh.6
SAMD10	sterile alpha motif domain containing 10	20q13.33		140700	ENSG00000130590	NM_080621	Q9BYL1	uc002yhm.2
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	20q11.23	AF228421	25939	ENSG00000101347	NM_015474	Q9Y3Z3	uc002xgh.3
SCAND1	SCAN domain containing 1	20q11.23	AF204271	51282	ENSG00000171222	NM_016558	P57086	uc002xep.3
SCAR6	spinocerebellar ataxia, autosomal recessive 6	20q11-q13						
SCP2D1	SCP2 sterol binding domain containing 1	20p11.23	AL035563	140856	ENSG00000132631	NM_178483	Q9UJQ7	uc002wrk.4
SCRT2	scratch family transcriptional repressor 2	20p13		85508	ENSG00000215397	NM_033129	Q9NQ03	uc002wec.3
SDAD1P2	SDA1 domain containing 1 pseudogene 2	20p12.2		400836	ENSG00000230750	NG_021986		
SDC4	syndecan 4	20q13.12	X67016, D13292	6385	ENSG00000124145	NM_002999	P31431	uc002xnu.4
SDCBP2	syndecan binding protein 2	20p13	AF131809	27111	ENSG00000125775	NM_080489	Q9H190	uc002wev.5
SDCBP2-AS1	SDCBP2 antisense RNA 1	20p13	BC034773, DA094549, DA274215, DB454162	100507495	ENSG00000234684	NR_040047		uc002wex.4
SEC23B	Sec23 homolog B, coat complex II component	20p11.23	X97065	10483	ENSG00000101310		Q15437	uc002wqz.3
SEL1L2	SEL1L2 ERAD E3 ligase adaptor subunit	20p12.1	AL137678	80343	ENSG00000101251	NM_025229	Q5TEA6	uc061vme.1
SEMG1	semenogelin 1	20q13.12		6406	ENSG00000124233	NM_003007	P04279	uc002xni.3
SEMG2	semenogelin 2	20q13.12		6407	ENSG00000124157	NM_003008	Q02383	uc002xnk.4
SEPT14P20	septin 14 pseudogene 20	20q13.33						
SERINC3	serine incorporator 3	20q13.12	U49188	10955	ENSG00000132824	NM_006811	Q13530	uc002xme.4
SF3A3P1	splicing factor 3a, subunit 3 pseudogene 1	20p13	AL109805	170548	ENSG00000230568	NG_001054		
SGK2	SGK2, serine/threonine kinase 2	20q13.12	AF169034	10110	ENSG00000101049		Q9HBY8	uc002xku.4
SIGLEC1	sialic acid binding Ig like lectin 1	20p13	AF230073	6614	ENSG00000088827	NM_023068	Q9BZZ2	uc002wja.3
SIRPA	signal regulatory protein alpha	20p13	D86043	140885	ENSG00000198053	NM_080792	P78324	uc002wfq.3
SIRPB1	signal regulatory protein beta 1	20p13	Y10376	10326	ENSG00000101307	NM_006065	O00241, Q5TFQ8	uc010gai.4
SIRPB2	signal regulatory protein beta 2	20p13	AL109658	284759	ENSG00000196209	NM_178459	Q5JXA9	uc002wfg.3
SIRPB3P	signal regulatory protein beta 3, pseudogene	20p13		100652885	ENSG00000223750			
SIRPD	signal regulatory protein delta	20p13	AL049634	128646	ENSG00000125900	NM_178460	Q9H106	uc002wfi.4
SIRPG	signal regulatory protein gamma	20p13	AB042624	55423	ENSG00000089012	NM_018556	Q9P1W8	uc002wfm.1
SIRPG-AS1	SIRPG antisense RNA 1	20p13	AK093519	101929010	ENSG00000237914	NR_110090		
SLA2	Src like adaptor 2	20q11.23	AF326353	84174	ENSG00000101082	NM_175077	Q9H6Q3	uc002xfv.4
SLC2A4RG	SLC2A4 regulator	20q13.33	AF249267	56731	ENSG00000125520	NM_020062	Q9NR83	uc002ygq.4
SLC2A10	solute carrier family 2 member 10	20q13.12	AL137188	81031	ENSG00000197496		O95528	uc002xsl.4
SLC4A11	solute carrier family 4 member 11	20p13	AF336127	83959	ENSG00000088836		Q8NBS3	uc002wig.3
SLC9A8	solute carrier family 9 member A8	20q13.13	AB023156	23315	ENSG00000197818	XM_030524	Q9Y2E8	uc002xuv.3
SLC12A5	solute carrier family 12 member 5	20q13.12	AB033002	57468	ENSG00000124140		Q9H2X9	uc002xrb.3
SLC12A5-AS1	SLC12A5 and MMP9 antisense RNA 1	20q13.12			ENSG00000204044			
SLC13A3	solute carrier family 13 member 3	20q13.12	AF154121	64849	ENSG00000158296		Q8WWT9	uc002xsf.3
SLC17A9	solute carrier family 17 member 9	20q13.33	AK027065	63910	ENSG00000101194	NM_022082	Q9BYT1	uc002yea.5
SLC23A2	solute carrier family 23 member 2	20p13	AF058319	9962	ENSG00000089057		Q9UGH3	uc002wlh.1
SLC24A3	solute carrier family 24 member 3	20p11.23	AF169257	57419	ENSG00000185052	NM_020689	Q9HC58	uc002wrl.4
SLC25A6P1	solute carrier family 25 member 6 pseudogene 1	20p11.22		128790	ENSG00000233015	NG_003107		
SLC32A1	solute carrier family 32 member 1	20q11.23	AL133519	140679	ENSG00000101438	NM_080552	Q9H598	uc002xjc.3
SLC35C2	solute carrier family 35 member C2	20q13.12		51006	ENSG00000080189	NM_015945	Q9NQQ7	uc002xrr.5
SLC52A3	solute carrier family 52 member 3	20p13	AL118502	113278	ENSG00000101276	NM_033409	Q9NQ40	uc284pqm.1
SLCO4A1	solute carrier organic anion transporter family member 4A1	20q13.33	AB031051	28231	ENSG00000101187	NM_016354	Q96BD0	uc002ydb.1
SLCO4A1-AS1	SLCO4A1 antisense RNA 1	20q13.33		100127888	ENSG00000232803			
SLPI	secretory leukocyte peptidase inhibitor	20q13.12	X04502	6590	ENSG00000124107		P03973	uc002xnm.2
SLX4IP	SLX4 interacting protein	20p12.2	AL035456	128710	ENSG00000149346	NM_001009608	Q5VYV7	uc010zre.3
SMAN1	survival of motor and autonomic neurons 1	20q13.2-q13.3						
SMIM25	small integral membrane protein 25	20q13.13		100506115	ENSG00000224397	NM_001278655		
SMIM26	small integral membrane protein 26	20p11.23		388789	ENSG00000232388	NM_001348957	A0A096LP01	uc002wrd.5
SMOX	spermine oxidase	20p13	AK000753	54498	ENSG00000088826	NM_175842	Q9NWM0	uc002wkm.2
SNAI1	snail family transcriptional repressor 1	20q13.13	AF125377	6615	ENSG00000124216		O95863	uc002xuz.4
SNAP23P1	synaptosome associated protein 23 pseudogene 1	20q13.13	AL121903	101290500	ENSG00000230758	NG_033168		
SNAP25	synaptosome associated protein 25	20p12.2		6616	ENSG00000132639	NM_130811	P60880	uc002wnr.3
SNAP25-AS1	SNAP25 antisense RNA 1	20p12.2	AK124961, BF244758, DA318406	100131208	ENSG00000227906	NR_040710		uc061vjg.1
SNHG11	small nucleolar RNA host gene 11	20q11.23	AF497716	128439	ENSG00000174365	NR_003239		uc061wye.1
SNHG17	small nucleolar RNA host gene 17	20q11.23	BC032119, BC052370	388796	ENSG00000196756	NR_015366		
SNORA51	small nucleolar RNA, H/ACA box 51	20p13	AJ609477	677831	ENSG00000271798	NR_002981		uc064cwo.1
SNORA60	small nucleolar RNA, H/ACA box 60	20q11.23	AJ609469	677837	ENSG00000199266	NR_002986		uc061wyo.1
SNORA71A	small nucleolar RNA, H/ACA box 71A	20q11.23	Y11165	26777	ENSG00000225091	NR_002911		uc002xim.2
SNORA71B	small nucleolar RNA, H/ACA box 71B	20q11.23	Y11166	26776	ENSG00000235408	NR_002910		uc002xik.3
SNORA71C	small nucleolar RNA, H/ACA box 71C	20q11.23		677839	ENSG00000201512	NR_003017		uc002xin.2
SNORA71D	small nucleolar RNA, H/ACA box 71D	20q11.23		677840	ENSG00000200354	NR_003018		uc002xio.2
SNORA71E	small nucleolar RNA, H/ACA box 71E	20q11.23	AJ609475	677821	ENSG00000274309	NR_002972		
SNORA117	small nucleolar RNA, H/ACA box 117	20q13.33		109623463		NR_145798		
SNORD12	small nucleolar RNA, C/D box 12	20q13.13		692057	ENSG00000212304	NR_003030		uc002xup.1
SNORD12C	small nucleolar RNA, C/D box 12C	20q13.13	AY349607	26765	ENSG00000209042	NR_002433		uc010ghz.4
SNORD17	small nucleolar RNA, C/D box 17	20p11.23		692086	ENSG00000212232	NR_003045		uc002wqf.1
SNORD56	small nucleolar RNA, C/D box 56	20p13	X96655	26793	ENSG00000229686	NR_002739		uc062clv.1
SNORD57	small nucleolar RNA, C/D box 57	20p13	X96656	26792	ENSG00000226572	NR_002738		uc061vbj.1
SNORD86	small nucleolar RNA, C/D box 86	20p13	AJ311853	692201	ENSG00000212498	NR_004399		uc061vbc.1
SNORD110	small nucleolar RNA, C/D box 110	20p13		692213	ENSG00000221116	NR_003078		uc002wgj.3
SNORD119	small nucleolar RNA, C/D box 119	20p13	AM413030	100113378		NR_003684		
SNORD154	small nucleolar RNA, C/D box 154	20q12		109623474		NR_145814		
SNPH	syntaphilin	20p13		9751	ENSG00000101298	NM_014723	O15079	uc002wes.4
SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	20p13		6628	ENSG00000125835		P14678	uc002wfz.2
SNRPB2	small nuclear ribonucleoprotein polypeptide B2	20p12.1		6629	ENSG00000125870	NM_003092	P08579	uc002wph.3
SNRPFP1	small nuclear ribonucleoprotein polypeptide F pseudogene 1	20q13.13	AL162615	170550	ENSG00000231878			
SNTA1	syntrophin alpha 1	20q11.21	U40571	6640	ENSG00000101400	NM_003098	Q13424	uc002wzd.2
SNX5	sorting nexin 5	20p11.23	AF121855	27131	ENSG00000089006		Q9Y5X3	uc002wqd.5
SNX21	sorting nexin family member 21	20q13.12	AK095851	90203	ENSG00000124104	NM_033421	Q969T3	uc002xpv.2
SOCS2P1	suppressor of cytokine signaling 2 pseudogene 1	20q11.21		276719	ENSG00000237662	NG_002411		
SOGA1	suppressor of glucose, autophagy associated 1	20q11.23	AK126630	140710	ENSG00000149639	NM_199181	O94964	uc002xgd.2
SOX12	SRY-box 12	20p13	U35612	6666	ENSG00000177732	NM_006943	O15370	uc002wdh.5
SOX18	SRY-box 18	20q13.33	AB033888	54345	ENSG00000203883		P35713	uc002yhs.4
SPAG4	sperm associated antigen 4	20q11.22	AF043344	6676	ENSG00000061656	NM_003116	Q9NPE6	uc002xdb.2
SPATA2	spermatogenesis associated 2	20q13.13	AB018300	9825	ENSG00000158480	NM_006038	Q9UM82	uc002xuw.5
SPATA25	spermatogenesis associated 25	20q13.12	AL008726	128497	ENSG00000149634		Q9BR10	uc002xqf.4
SPEF1	sperm flagellar 1	20p13	AL080154	25876	ENSG00000101222		Q9Y4P9	uc002wjj.4
SPINT3	serine peptidase inhibitor, Kunitz type 3	20q13.12	X77166	10816	ENSG00000101446	NM_006652	P49223	uc010ghg.1
SPINT4	serine peptidase inhibitor, Kunitz type 4	20q13.12	AY372174	391253	ENSG00000149651	XM_372869	Q6UDR6	uc002xpe.2
SPINT5P	serine peptidase inhibitor, Kunitz type 5, pseudogene	20q13.12	AL050348		ENSG00000168630			
SPO11	SPO11, initiator of meiotic double stranded breaks	20q13.31	AF169385	23626	ENSG00000054796	NM_012444	Q9Y5K1	uc002xye.4
SPTLC3	serine palmitoyltransferase long chain base subunit 3	20p12.1	AL109983	55304	ENSG00000172296	NM_018327	Q9NUV7	uc002wod.2
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	20q11.23	AF077754	6714	ENSG00000197122	NM_005417	P12931	uc002xgy.5
SRMP1	spermidine synthase pseudogene 1	20q13.13	AL121777	170552	ENSG00000215448			
SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	20q13.33		6725	ENSG00000125508	NM_080823	Q9H3Y6	uc002yfi.3
SRSF6	serine and arginine rich splicing factor 6	20q13.11	U30883	6431	ENSG00000124193	NM_006275	Q13247	uc010zwg.3
SRSF10P2	serine and arginine rich splicing factor 10 pseudogene 2	20p12.3		171472		NG_001017		
SRXN1	sulfiredoxin 1	20p13	AF075053	140809	ENSG00000271303	NM_080725	Q9BYN0	uc002wea.5
SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	20q13.33	AB014593	26039	ENSG00000184402		O75177	uc002ycb.4
SSTR4	somatostatin receptor 4	20p11.21		6754	ENSG00000132671		P31391	uc002wsr.3
STAU1	staufen double-stranded RNA binding protein 1	20q13.13		6780	ENSG00000124214	NM_017453	O95793	uc002xud.3
STK4	serine/threonine kinase 4	20q13.12		6789	ENSG00000101109	NM_006282	Q13043	uc002xnb.4
STK4-AS1	STK4 antisense RNA 1 (head to head)	20q13.12		100505826	ENSG00000227477	NR_038341		uc002xna.3
STK35	serine/threonine kinase 35	20p13	AL359916	140901	ENSG00000125834	NM_080836	Q8TDR2	uc002wfw.5
STMN3	stathmin 3	20q13.33	AF069709	50861	ENSG00000197457	NM_015894	Q9NZ72	uc002yfr.3
STX16	syntaxin 16	20q13.32	AF038897	8675	ENSG00000124222	NM_001001433	O14662	uc002xzi.4
STX16-NPEPL1	STX16-NPEPL1 readthrough (NMD candidate)	20q13.32		100534593	ENSG00000254995	NR_037945.1		uc061yan.1
SULF2	sulfatase 2	20q13.12	AY101176	55959	ENSG00000196562	NM_018837	Q8IWU5	uc002xto.4
SUMO1P1	SUMO1 pseudogene 1	20q13.2		391257	ENSG00000241721	NR_002189		
SUN5	Sad1 and UNC84 domain containing 5	20q11.21	AL121756	140732	ENSG00000167098	NM_080675	Q8TC36	uc002wyi.4
SYCP2	synaptonemal complex protein 2	20q13.33	Y08982	10388	ENSG00000196074	NM_014258	Q9BX26	uc002yaz.4
SYNDIG1	synapse differentiation inducing 1	20p11.21	AK024282	79953	ENSG00000101463	NM_024893	Q9H7V2	uc002wtw.3
SYS1	SYS1, golgi trafficking protein	20q13.12	AL021578	90196	ENSG00000204070	NM_033542	Q8N2H4	uc002xnv.4
SYS1-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)	20q13.12	BC023562	767557	ENSG00000254806			uc061xhp.1
TAF4	TATA-box binding protein associated factor 4	20q13.33	Y11354	6874	ENSG00000130699	NM_003185	O00268	uc002ybs.3
TARDBPP1	TAR DNA binding protein pseudogene 1	20p12.3		643503	ENSG00000233402			
TASP1	taspase 1	20p12.1	AK000219	55617	ENSG00000089123	NM_017714	Q9H6P5	uc002woi.4
TBC1D20	TBC1 domain family member 20	20p13	AK055573	128637	ENSG00000125875	NM_144628	Q96BZ9	uc002wds.4
TCEA2	transcription elongation factor A2	20q13.33	U86749	6919	ENSG00000171703	NM_198723	Q15560	uc061yqu.1
TCF15	transcription factor 15	20p13		6939	ENSG00000125878	NM_004609	Q12870	uc002wdz.4
TCFL5	transcription factor like 5	20q13.33	AB012124	10732	ENSG00000101190	NM_006602	Q9UL49	uc002ydp.3
TFAP2C	transcription factor AP-2 gamma	20q13.31		7022	ENSG00000087510	NM_003222	Q92754	uc002xya.4
TGIF2	TGFB induced factor homeobox 2	20q11.23	AB042646	60436	ENSG00000118707	NM_021809	Q9GZN2	uc021wcv.2
TGIF2-C20orf24	TGIF2-C20orf24 readthrough	20q11.23		100527943	ENSG00000259399			uc002xfo.4
TGM2	transglutaminase 2	20q11.23	M98478	7052	ENSG00000198959	NM_198951	P21980	uc002xhr.5
TGM3	transglutaminase 3	20p13	L10386	7053	ENSG00000125780	NM_003245	Q08188	uc002wfx.5
TGM6	transglutaminase 6	20p13	AF540970	343641	ENSG00000166948	NM_198994	O95932	uc002wfy.1
THBD	thrombomodulin	20p11.21		7056	ENSG00000178726		P07204	uc002wss.4
TLDC2	TBC/LysM-associated domain containing 2	20q11.23	AL079335	140711	ENSG00000101342	NM_080628	A0PJX2	uc002xgg.2
TM9SF4	transmembrane 9 superfamily member 4	20q11.21	BC021107	9777	ENSG00000101337	NM_014742	Q92544	uc002wxj.2
TMC2	transmembrane channel like 2	20p13	AF417580	117532	ENSG00000149488		Q8TDI7	uc002wgf.1
TMEM74B	transmembrane protein 74B	20p13	AK002052	55321	ENSG00000125895	NM_018354	Q9NUR3	uc002weq.2
TMEM189	transmembrane protein 189	20q13.13	AF155120	387521	ENSG00000240849	NM_199129	A5PLL7	uc002xvg.3
TMEM189-UBE2V1	TMEM189-UBE2V1 readthrough	20q13.13	U39361	387522	ENSG00000124208			uc002xvf.4
TMEM230	transmembrane protein 230	20p13-p12.3	AF161392	29058	ENSG00000089063		Q96A57	uc002wlm.4
TMEM239	transmembrane protein 239	20p13		100288797	ENSG00000198326		Q8WW34	uc002wgx.3
TMSB4XP6	thymosin beta 4, X-linked pseudogene 6	20q13.13	BC112282	7120	ENSG00000230043	NG_006508		
TMX4	thioredoxin related transmembrane protein 4	20p12.3		56255	ENSG00000125827	NM_021156	Q9H1E5	uc002wmx.2
TNFRSF6B	TNF receptor superfamily member 6b	20q13.33	AF104419	8771	ENSG00000243509		O95407	uc002yfz.4
TNNC2	troponin C2, fast skeletal type	20q13.12		7125	ENSG00000101470	NM_003279	P02585	uc002xpr.4
TOMM34	translocase of outer mitochondrial membrane 34	20q13.12	U58970	10953	ENSG00000025772	NM_006809	Q15785	uc002xmy.4
TOP1	DNA topoisomerase I	20q12		7150	ENSG00000198900		P11387	uc002xjl.4
TOX2	TOX high mobility group box family member 2	20q13.12	BC007636	84969	ENSG00000124191		Q96NM4	uc010ggo.4
TP53INP2	tumor protein p53 inducible nuclear protein 2	20q11.22	AL109824	58476	ENSG00000078804	NM_021202	Q8IXH6	uc002xau.2
TP53RK	TP53 regulating kinase	20q13.12		112858	ENSG00000172315	NM_033550	Q96S44	uc002xsk.4
TP53TG5	TP53 target 5	20q13.12	AB017802	27296	ENSG00000124251	NM_014477	Q9Y2B4	uc002xny.4
TPD52L2	tumor protein D52 like 2	20q13.33	AF004430	7165	ENSG00000101150		O43399	uc002ygz.4
TPM3P2	tropomyosin 3 pseudogene 2	20q11.22	AL034549	170555	ENSG00000214200	NG_001060		
TPX2	TPX2, microtubule nucleation factor	20q11.21	AF098158	22974	ENSG00000088325		Q9ULW0	uc002wwp.2
TRE-CTC10-1	transfer RNA-Glu (CTC) 10-1	20p12.1	HG983768	100189532				
TRERNA1	translation regulatory long non-coding RNA 1	20q13.13	AI968488, BX118093	100887755	ENSG00000231265	NR_051976		
TRI-AAT12-1	transfer RNA-Ile (AAT) 12-1	20q13.2	HG983859	100189481				
TRIB3	tribbles pseudokinase 3	20p13	AF250311	57761	ENSG00000101255	NM_021158	Q96RU7	uc002wdm.4
TRL-AAG6-1	transfer RNA-Leu (AAG) 6-1	20	HG983878	100189429				
TRMT6	tRNA methyltransferase 6	20p12.3	AK000613	51605	ENSG00000089195		Q9UJA5	uc002wmh.3
TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	20q11.22	AF055022	26133	ENSG00000100991	NM_015638	Q8TEL6	uc002xbk.4
TRQ-CTG17-1	transfer RNA-Gln (CTG) 17-1	20	HG983739	100189302				
TRS-AGA7-1	transfer RNA-Ser (AGA) 7-1	20q11.21	HG984019	100189487				
TRV-CAC14-1	transfer RNA-Val (CAC) 14-1	20q13.12	HG984130	100189477				
TSHZ2	teashirt zinc finger homeobox 2	20q13.2	AF230201	128553	ENSG00000182463	NM_173485	Q9NRE2	uc002xwo.3
TSPY26P	testis specific protein, Y-linked 26, pseudogene	20q11.21		128854	ENSG00000235217	NM_178465	Q9H489	
TTI1	TELO2 interacting protein 1	20q11.23	BC013121	9675	ENSG00000101407	NM_014657	O43156	uc002xhm.4
TTLL9	tubulin tyrosine ligase like 9	20q11	AL031658	164395		NM_001008409	Q3SXZ7	uc002wwy.2
TTPAL	alpha tocopherol transfer protein like	20q13.12	BC003071	79183	ENSG00000124120	NM_024331	Q9BTX7	uc002xmd.2
TUBB1	tubulin beta 1 class VI	20q13.32	AJ292757	81027	ENSG00000101162	NM_030773	Q9H4B7	uc002yak.3
UBE2C	ubiquitin conjugating enzyme E2 C	20q13.12	U73379	11065	ENSG00000175063	NM_007019	O00762	uc002xpm.4
